,Month,Cash Rate (%)
0,May-1976,7.71
1,Jun-1976,8.02
2,Jul-1976,7.57
3,Aug-1976,7.75
4,Sep-1976,7.46
5,Oct-1976,7.28
6,Nov-1976,7.18
7,Dec-1976,6.37
8,Jan-1977,7.46
9,Feb-1977,7.42
10,Mar-1977,7.58
11,Apr-1977,7.36
12,May-1977,8.64
13,Jun-1977,9.52
14,Jul-1977,9.34
15,Aug-1977,9.67
16,Sep-1977,9.47
17,Oct-1977,8.86
18,Nov-1977,9.16
19,Dec-1977,9.15
20,Jan-1978,8.76
21,Feb-1978,8.42
22,Mar-1978,7.95
23,Apr-1978,7.67
24,May-1978,9.11
25,Jun-1978,9.04
26,Jul-1978,8.81
27,Aug-1978,9.01
28,Sep-1978,9.18
29,Oct-1978,9.4
30,Nov-1978,7.97
31,Dec-1978,8.32
32,Jan-1979,8.18
33,Feb-1979,7.83
34,Mar-1979,8.18
35,Apr-1979,8.61
36,May-1979,9.45
37,Jun-1979,8.71
38,Jul-1979,10.06
39,Aug-1979,10.63
40,Sep-1979,9.41
41,Oct-1979,9.05
42,Nov-1979,8.99
43,Dec-1979,9.5
44,Jan-1980,9.24
45,Feb-1980,8.86
46,Mar-1980,10.41
47,Apr-1980,10.68
48,May-1980,13.72
49,Jun-1980,13.73
50,Jul-1980,12.86
51,Aug-1980,12.42
52,Sep-1980,11.23
53,Oct-1980,9.83
54,Nov-1980,10.33
55,Dec-1980,10.88
56,Jan-1981,10.68
57,Feb-1981,11.0
58,Mar-1981,11.99
59,Apr-1981,13.09
60,May-1981,14.19
61,Jun-1981,15.33
62,Jul-1981,15.44
63,Aug-1981,15.0
64,Sep-1981,14.68
65,Oct-1981,14.34
66,Nov-1981,14.54
67,Dec-1981,15.62
68,Jan-1982,14.99
69,Feb-1982,15.2
70,Mar-1982,16.08
71,Apr-1982,19.09
72,May-1982,18.39
73,Jun-1982,17.58
74,Jul-1982,16.51
75,Aug-1982,20.77
76,Sep-1982,16.1
77,Oct-1982,15.7
78,Nov-1982,14.0
79,Dec-1982,11.46
80,Jan-1983,12.36
81,Feb-1983,12.68
82,Mar-1983,16.73
83,Apr-1983,12.61
84,May-1983,11.9
85,Jun-1983,11.74
86,Jul-1983,10.35
87,Aug-1983,10.67
88,Sep-1983,10.98
89,Oct-1983,10.24
90,Nov-1983,9.97
91,Dec-1983,4.76
92,Jan-1984,9.13
93,Feb-1984,9.78
94,Mar-1984,12.55
95,Apr-1984,15.15
96,May-1984,14.08
97,Jun-1984,12.33
98,Jul-1984,12.19
99,Aug-1984,11.61
100,Sep-1984,11.07
101,Oct-1984,11.14
102,Nov-1984,11.52
103,Dec-1984,12.01
104,Jan-1985,11.27
105,Feb-1985,11.64
106,Mar-1985,13.97
107,Apr-1985,15.4
108,May-1985,15.84
109,Jun-1985,18.92
110,Jul-1985,15.48
111,Aug-1985,16.5
112,Sep-1985,16.41
113,Oct-1985,16.09
114,Nov-1985,18.12
115,Dec-1985,19.39
116,Jan-1986,18.91
117,Feb-1986,18.58
118,Mar-1986,17.29
119,Apr-1986,17.15
120,May-1986,15.11
121,Jun-1986,15.44
122,Jul-1986,14.71
123,Aug-1986,17.78
124,Sep-1986,17.7
125,Oct-1986,16.64
126,Nov-1986,16.35
127,Dec-1986,15.5
128,Jan-1987,16.62
129,Feb-1987,16.43
130,Mar-1987,16.23
131,Apr-1987,14.8
132,May-1987,14.26
133,Jun-1987,13.19
134,Jul-1987,12.43
135,Aug-1987,12.16
136,Sep-1987,11.8
137,Oct-1987,11.3
138,Nov-1987,11.69
139,Dec-1987,11.3
140,Jan-1988,10.62
141,Feb-1988,10.66
142,Mar-1988,10.87
143,Apr-1988,11.3
144,May-1988,12.58
145,Jun-1988,13.07
146,Jul-1988,12.71
147,Aug-1988,12.91
148,Sep-1988,13.07
149,Oct-1988,13.41
150,Nov-1988,14.33
151,Dec-1988,14.59
152,Jan-1989,14.82
153,Feb-1989,15.77
154,Mar-1989,16.51
155,Apr-1989,16.71
156,May-1989,17.29
157,Jun-1989,17.73
158,Jul-1989,17.92
159,Aug-1989,17.86
160,Sep-1989,18.06
161,Oct-1989,18.05
162,Nov-1989,18.19
163,Dec-1989,18.16
164,Jan-1990,17.81
165,Feb-1990,16.8
166,Mar-1990,16.43
167,Apr-1990,15.17
168,May-1990,15.02
169,Jun-1990,15.05
170,Jul-1990,15.02
171,Aug-1990,14.07
172,Sep-1990,14.05
173,Oct-1990,13.47
174,Nov-1990,13.05
175,Dec-1990,12.68
176,Jan-1991,12.02
177,Feb-1991,12.01
178,Mar-1991,12.02
179,Apr-1991,11.58
180,May-1991,10.99
181,Jun-1991,10.54
182,Jul-1991,10.49
183,Aug-1991,10.52
184,Sep-1991,9.59
185,Oct-1991,9.49
186,Nov-1991,8.64
187,Dec-1991,8.52
188,Jan-1992,7.75
189,Feb-1992,7.52
190,Mar-1992,7.54
191,Apr-1992,7.51
192,May-1992,6.69
193,Jun-1992,6.57
194,Jul-1992,5.93
195,Aug-1992,5.86
196,Sep-1992,5.74
197,Oct-1992,5.74
198,Nov-1992,5.77
199,Dec-1992,5.79
200,Jan-1993,5.75
201,Feb-1993,5.74
202,Mar-1993,5.62
203,Apr-1993,5.25
204,May-1993,5.26
205,Jun-1993,5.27
206,Jul-1993,5.24
207,Aug-1993,4.77
208,Sep-1993,4.72
209,Oct-1993,4.69
210,Nov-1993,4.71
211,Dec-1993,4.73
212,Jan-1994,4.71
213,Feb-1994,4.71
214,Mar-1994,4.72
215,Apr-1994,4.69
216,May-1994,4.67
217,Jun-1994,4.68
218,Jul-1994,4.66
219,Aug-1994,5.01
220,Sep-1994,5.44
221,Oct-1994,5.71
222,Nov-1994,6.43
223,Dec-1994,6.96
224,Jan-1995,7.49
225,Feb-1995,7.48
226,Mar-1995,7.49
227,Apr-1995,7.51
228,May-1995,7.5
229,Jun-1995,7.51
230,Jul-1995,7.51
231,Aug-1995,7.51
232,Sep-1995,7.49
233,Oct-1995,7.49
234,Nov-1995,7.5
235,Dec-1995,7.51
236,Jan-1996,7.5
237,Feb-1996,7.5
238,Mar-1996,7.52
239,Apr-1996,7.49
240,May-1996,7.51
241,Jun-1996,7.51
242,Jul-1996,7.51
243,Aug-1996,7.01
244,Sep-1996,7.01
245,Oct-1996,7.0
246,Nov-1996,6.58
247,Dec-1996,6.23
248,Jan-1997,6.04
249,Feb-1997,6.01
250,Mar-1997,6.04
251,Apr-1997,6.05
252,May-1997,5.91
253,Jun-1997,5.57
254,Jul-1997,5.44
255,Aug-1997,4.98
256,Sep-1997,4.98
257,Oct-1997,4.98
258,Nov-1997,5.0
259,Dec-1997,5.03
260,Jan-1998,5.0
261,Feb-1998,4.98
262,Mar-1998,5.0
263,Apr-1998,4.98
264,May-1998,5.0
265,Jun-1998,5.07
266,Jul-1998,4.98
267,Aug-1998,4.97
268,Sep-1998,4.97
269,Oct-1998,4.97
270,Nov-1998,4.98
271,Dec-1998,4.75
272,Jan-1999,4.72
273,Feb-1999,4.72
274,Mar-1999,4.74
275,Apr-1999,4.74
276,May-1999,4.75
277,Jun-1999,4.76
278,Jul-1999,4.74
279,Aug-1999,4.73
280,Sep-1999,4.75
281,Oct-1999,4.75
282,Nov-1999,4.98
283,Dec-1999,4.97
284,Jan-2000,4.98
285,Feb-2000,5.46
286,Mar-2000,5.49
287,Apr-2000,5.72
288,May-2000,5.98
289,Jun-2000,6.0
290,Jul-2000,5.99
291,Aug-2000,6.24
292,Sep-2000,6.24
293,Oct-2000,6.23
294,Nov-2000,6.22
295,Dec-2000,6.23
296,Jan-2001,6.24
297,Feb-2001,5.84
298,Mar-2001,5.54
299,Apr-2001,5.05
300,May-2001,4.99
301,Jun-2001,5.0
302,Jul-2001,5.0
303,Aug-2001,4.99
304,Sep-2001,4.75
305,Oct-2001,4.51
306,Nov-2001,4.49
307,Dec-2001,4.27
308,Jan-2002,4.24
309,Feb-2002,4.24
310,Mar-2002,4.23
311,Apr-2002,4.24
312,May-2002,4.44
313,Jun-2002,4.72
314,Jul-2002,4.75
315,Aug-2002,4.75
316,Sep-2002,4.75
317,Oct-2002,4.75
318,Nov-2002,4.75
319,Dec-2002,4.75
320,Jan-2003,4.75
321,Feb-2003,4.75
322,Mar-2003,4.75
323,Apr-2003,4.75
324,May-2003,4.75
325,Jun-2003,4.75
326,Jul-2003,4.75
327,Aug-2003,4.75
328,Sep-2003,4.75
329,Oct-2003,4.75
330,Nov-2003,4.98
331,Dec-2003,5.23
332,Jan-2004,5.25
333,Feb-2004,5.25
334,Mar-2004,5.25
335,Apr-2004,5.25
336,May-2004,5.25
337,Jun-2004,5.25
338,Jul-2004,5.25
339,Aug-2004,5.25
340,Sep-2004,5.25
341,Oct-2004,5.25
342,Nov-2004,5.25
343,Dec-2004,5.25
344,Jan-2005,5.25
345,Feb-2005,5.25
346,Mar-2005,5.49
347,Apr-2005,5.5
348,May-2005,5.5
349,Jun-2005,5.5
350,Jul-2005,5.5
351,Aug-2005,5.5
352,Sep-2005,5.5
353,Oct-2005,5.5
354,Nov-2005,5.5
355,Dec-2005,5.5
356,Jan-2006,5.5
357,Feb-2006,5.5
358,Mar-2006,5.5
359,Apr-2006,5.5
360,May-2006,5.73
361,Jun-2006,5.75
362,Jul-2006,5.75
363,Aug-2006,5.99
364,Sep-2006,6.0
365,Oct-2006,6.0
366,Nov-2006,6.19
367,Dec-2006,6.25
368,Jan-2007,6.25
369,Feb-2007,6.25
370,Mar-2007,6.25
371,Apr-2007,6.25
372,May-2007,6.25
373,Jun-2007,6.25
374,Jul-2007,6.25
375,Aug-2007,6.45
376,Sep-2007,6.5
377,Oct-2007,6.5
378,Nov-2007,6.7
379,Dec-2007,6.75
380,Jan-2008,6.75
381,Feb-2008,6.96
382,Mar-2008,7.22
383,Apr-2008,7.25
384,May-2008,7.25
385,Jun-2008,7.25
386,Jul-2008,7.25
387,Aug-2008,7.25
