Month,Commodity Index
Jul-1982,19.3
Aug-1982,19.5
Sep-1982,20.2
Oct-1982,20.4
Nov-1982,20.5
Dec-1982,20.1
Jan-1983,20.3
Feb-1983,20.8
Mar-1983,21.9
Apr-1983,22.3
May-1983,22.3
Jun-1983,22.2
Jul-1983,22.0
Aug-1983,22.2
Sep-1983,21.7
Oct-1983,21.2
Nov-1983,20.6
Dec-1983,20.7
Jan-1984,20.6
Feb-1984,20.1
Mar-1984,20.2
Apr-1984,20.1
May-1984,20.3
Jun-1984,20.6
Jul-1984,20.7
Aug-1984,20.7
Sep-1984,20.6
Oct-1984,20.6
Nov-1984,20.4
Dec-1984,20.3
Jan-1985,20.6
Feb-1985,22.2
Mar-1985,23.6
Apr-1985,24.7
May-1985,24.1
Jun-1985,24.0
Jul-1985,23.0
Aug-1985,22.7
Sep-1985,23.3
Oct-1985,22.9
Nov-1985,23.8
Dec-1985,23.8
Jan-1986,23.4
Feb-1986,22.6
Mar-1986,22.5
Apr-1986,22.0
May-1986,21.9
Jun-1986,22.0
Jul-1986,22.9
Aug-1986,24.1
Sep-1986,24.2
Oct-1986,23.8
Nov-1986,23.7
Dec-1986,23.3
Jan-1987,23.5
Feb-1987,24.2
Mar-1987,24.1
Apr-1987,23.6
May-1987,23.8
Jun-1987,23.4
Jul-1987,23.7
Aug-1987,24.6
Sep-1987,23.9
Oct-1987,24.8
Nov-1987,25.8
Dec-1987,25.9
Jan-1988,26.3
Feb-1988,26.9
Mar-1988,27.1
Apr-1988,27.2
May-1988,26.9
Jun-1988,27.4
Jul-1988,26.9
Aug-1988,26.4
Sep-1988,26.3
Oct-1988,26.0
Nov-1988,25.1
Dec-1988,25.3
Jan-1989,25.1
Feb-1989,25.1
Mar-1989,26.3
Apr-1989,26.8
May-1989,27.6
Jun-1989,27.8
Jul-1989,27.8
Aug-1989,27.8
Sep-1989,27.4
Oct-1989,27.7
Nov-1989,27.6
Dec-1989,27.4
Jan-1990,27.4
Feb-1990,27.7
Mar-1990,28.0
Apr-1990,27.8
May-1990,27.8
Jun-1990,26.3
Jul-1990,25.7
Aug-1990,26.1
Sep-1990,26.3
Oct-1990,26.5
Nov-1990,26.6
Dec-1990,26.1
Jan-1991,25.6
Feb-1991,24.2
Mar-1991,24.5
Apr-1991,24.3
May-1991,24.4
Jun-1991,25.1
Jul-1991,24.7
Aug-1991,24.1
Sep-1991,23.8
Oct-1991,23.8
Nov-1991,24.3
Dec-1991,25.0
Jan-1992,25.6
Feb-1992,25.8
Mar-1992,25.2
Apr-1992,24.8
May-1992,25.0
Jun-1992,25.1
Jul-1992,25.5
Aug-1992,25.8
Sep-1992,25.9
Oct-1992,25.8
Nov-1992,26.0
Dec-1992,26.0
Jan-1993,26.8
Feb-1993,26.4
Mar-1993,25.0
Apr-1993,24.6
May-1993,25.3
Jun-1993,25.9
Jul-1993,26.2
Aug-1993,25.9
Sep-1993,26.3
Oct-1993,26.1
Nov-1993,25.9
Dec-1993,26.1
Jan-1994,25.8
Feb-1994,25.4
Mar-1994,25.5
Apr-1994,25.0
May-1994,24.9
Jun-1994,24.8
Jul-1994,25.0
Aug-1994,24.8
Sep-1994,25.4
Oct-1994,25.5
Nov-1994,25.6
Dec-1994,25.2
Jan-1995,26.0
Feb-1995,26.2
Mar-1995,26.4
Apr-1995,26.6
May-1995,27.0
Jun-1995,27.6
Jul-1995,27.3
Aug-1995,26.8
Sep-1995,26.4
Oct-1995,25.8
Nov-1995,26.6
Dec-1995,26.6
Jan-1996,26.6
Feb-1996,26.3
Mar-1996,25.7
Apr-1996,25.4
May-1996,25.2
Jun-1996,25.1
Jul-1996,24.9
Aug-1996,25.2
Sep-1996,24.8
Oct-1996,24.8
Nov-1996,24.5
Dec-1996,24.4
Jan-1997,25.1
Feb-1997,25.4
Mar-1997,25.1
Apr-1997,25.1
May-1997,25.3
Jun-1997,25.5
Jul-1997,25.5
Aug-1997,25.8
Sep-1997,26.1
Oct-1997,26.0
Nov-1997,26.8
Dec-1997,27.3
Jan-1998,26.8
Feb-1998,26.1
Mar-1998,26.0
Apr-1998,26.5
May-1998,26.8
Jun-1998,27.2
Jul-1998,26.3
Aug-1998,27.1
Sep-1998,26.8
Oct-1998,25.8
Nov-1998,25.0
Dec-1998,25.1
Jan-1999,24.8
Feb-1999,24.2
Mar-1999,24.6
Apr-1999,23.8
May-1999,23.0
Jun-1999,23.3
Jul-1999,23.4
Aug-1999,24.5
Sep-1999,24.6
Oct-1999,24.9
Nov-1999,25.1
Dec-1999,25.0
Jan-2000,25.0
Feb-2000,26.5
Mar-2000,27.1
Apr-2000,27.5
May-2000,28.7
Jun-2000,28.5
Jul-2000,28.9
