Month,GDP (million),Precent_GDP
Sep-1959,68834.0,
Dec-1959,69442.0,
Mar-1960,69787.0,
Jun-1960,71718.0,
Sep-1960,71878.0,4.4
Dec-1960,71737.0,3.3
Mar-1961,71952.0,3.1
Jun-1961,71161.0,-0.8
Sep-1961,70651.0,-1.7
Dec-1961,71455.0,-0.4
Mar-1962,73461.0,2.1
Jun-1962,74871.0,5.2
Sep-1962,75474.0,6.8
Dec-1962,76830.0,7.5
Mar-1963,78604.0,7.0
Jun-1963,77584.0,3.6
Sep-1963,80768.0,7.0
Dec-1963,82498.0,7.4
Mar-1964,82364.0,4.8
Jun-1964,84396.0,8.8
Sep-1964,84920.0,5.1
Dec-1964,87331.0,5.9
Mar-1965,88066.0,6.9
Jun-1965,89446.0,6.0
Sep-1965,89182.0,5.0
Dec-1965,89398.0,2.4
Mar-1966,89140.0,1.2
Jun-1966,90362.0,1.0
Sep-1966,92917.0,4.2
Dec-1966,93527.0,4.6
Mar-1967,97178.0,9.0
Jun-1967,97039.0,7.4
Sep-1967,98861.0,6.4
Dec-1967,99720.0,6.6
Mar-1968,98833.0,1.7
Jun-1968,102637.0,5.8
Sep-1968,103995.0,5.2
Dec-1968,107870.0,8.2
Mar-1969,107125.0,8.4
Jun-1969,109247.0,6.4
Sep-1969,111058.0,6.8
Dec-1969,113616.0,5.3
Mar-1970,115980.0,8.3
Jun-1970,118313.0,8.3
Sep-1970,118063.0,6.3
Dec-1970,118625.0,4.4
Mar-1971,120062.0,3.5
Jun-1971,120581.0,1.9
Sep-1971,124366.0,5.3
Dec-1971,123963.0,4.5
Mar-1972,122460.0,2.0
Jun-1972,125206.0,3.8
Sep-1972,124572.0,0.2
Dec-1972,125888.0,1.6
Mar-1973,129139.0,5.5
Jun-1973,129388.0,3.3
Sep-1973,130695.0,4.9
Dec-1973,133954.0,6.4
Mar-1974,133978.0,3.7
Jun-1974,131265.0,1.5
Sep-1974,132830.0,1.6
Dec-1974,132959.0,-0.7
Mar-1975,133483.0,-0.4
Jun-1975,137700.0,4.9
Sep-1975,136191.0,2.5
Dec-1975,134131.0,0.9
Mar-1976,140057.0,4.9
Jun-1976,140494.0,2.0
Sep-1976,141630.0,4.0
Dec-1976,142861.0,6.5
Mar-1977,142086.0,1.4
Jun-1977,144099.0,2.6
Sep-1977,143483.0,1.3
Dec-1977,143026.0,0.1
Mar-1978,144039.0,1.4
Jun-1978,145224.0,0.8
Sep-1978,147433.0,2.8
Dec-1978,148653.0,3.9
Mar-1979,152728.0,6.0
Jun-1979,150278.0,3.5
Sep-1979,151678.0,2.9
Dec-1979,154604.0,4.0
Mar-1980,155297.0,1.7
Jun-1980,155699.0,3.6
Sep-1980,156530.0,3.2
Dec-1980,159219.0,3.0
Mar-1981,159840.0,2.9
Jun-1981,162302.0,4.2
Sep-1981,165585.0,5.8
Dec-1981,164908.0,3.6
Mar-1982,163582.0,2.3
Jun-1982,165026.0,1.7
Sep-1982,163940.0,-1.0
Dec-1982,161330.0,-2.2
Mar-1983,159745.0,-2.3
Jun-1983,159424.0,-3.4
Sep-1983,163887.0,0.0
Dec-1983,166616.0,3.3
Mar-1984,170788.0,6.9
Jun-1984,172739.0,8.4
Sep-1984,174296.0,6.4
Dec-1984,175445.0,5.3
Mar-1985,177973.0,4.2
Jun-1985,181893.0,5.3
Sep-1985,184315.0,5.7
Dec-1985,183783.0,4.8
Mar-1986,184999.0,3.9
Jun-1986,184658.0,1.5
Sep-1986,185185.0,0.5
Dec-1986,188247.0,2.4
Mar-1987,190092.0,2.8
Jun-1987,193108.0,4.6
Sep-1987,196611.0,6.2
Dec-1987,200581.0,6.6
Mar-1988,201438.0,6.0
Jun-1988,201572.0,4.4
Sep-1988,203241.0,3.4
Dec-1988,206430.0,2.9
Mar-1989,208561.0,3.5
Jun-1989,212982.0,5.7
Sep-1989,214729.0,5.7
Dec-1989,214143.0,3.7
Mar-1990,215914.0,3.5
Jun-1990,216152.0,1.5
Sep-1990,214943.0,0.1
Dec-1990,216227.0,1.0
Mar-1991,213422.0,-1.2
Jun-1991,213050.0,-1.4
Sep-1991,214013.0,-0.4
Dec-1991,214128.0,-1.0
Mar-1992,215825.0,1.1
Jun-1992,217349.0,2.0
Sep-1992,219509.0,2.6
Dec-1992,224086.0,4.7
Mar-1993,225635.0,4.5
Jun-1993,226947.0,4.4
Sep-1993,227237.0,3.5
Dec-1993,231416.0,3.3
Mar-1994,235201.0,4.2
Jun-1994,237997.0,4.9
Sep-1994,239849.0,5.6
Dec-1994,242381.0,4.7
Mar-1995,242412.0,3.1
Jun-1995,243430.0,2.3
Sep-1995,248934.0,3.8
Dec-1995,248887.0,2.7
Mar-1996,252988.0,4.4
Jun-1996,254599.0,4.6
Sep-1996,256634.0,3.1
Dec-1996,259025.0,4.1
Mar-1997,260656.0,3.0
Jun-1997,268436.0,5.4
Sep-1997,268779.0,4.7
Dec-1997,272689.0,5.3
Mar-1998,274462.0,5.3
Jun-1998,277018.0,3.2
Sep-1998,282291.0,5.0
Dec-1998,286568.0,5.1
Mar-1999,288661.0,5.2
Jun-1999,289598.0,4.5
Sep-1999,292952.0,3.8
Dec-1999,297924.0,4.0
Mar-2000,299121.0,3.6
Jun-2000,301871.0,4.2
Sep-2000,302709.0,3.3
Dec-2000,301586.0,1.2
