Month,Seasonally adjusted (%)
Feb-2013,5.40
Mar-2013,5.60
Apr-2013,5.60
May-2013,5.60
Jun-2013,5.70
Jul-2013,5.60
Aug-2013,5.80
Sep-2013,5.70
Oct-2013,5.80
Nov-2013,5.80
Dec-2013,5.90
Jan-2014,5.90
Feb-2014,5.90
Mar-2014,5.90
Apr-2014,5.80
May-2014,5.90
Jun-2014,6.00
Jul-2014,6.20
Aug-2014,6.10
Sep-2014,6.20
Oct-2014,6.40
Nov-2014,6.30
Dec-2014,6.10
Jan-2015,6.30
Feb-2015,6.10
Mar-2015,6.10
Apr-2015,6.10
May-2015,5.90
Jun-2015,6.00
Jul-2015,6.30
Aug-2015,6.10
Sep-2015,6.20
Oct-2015,5.90
Nov-2015,5.90
Dec-2015,5.70
Jan-2016,6.00
Feb-2016,5.70
Mar-2016,5.60
Apr-2016,5.60
May-2016,5.70
Jun-2016,5.70
Jul-2016,5.70
Aug-2016,5.60
Sep-2016,5.70
Oct-2016,5.60
Nov-2016,5.80
Dec-2016,5.80
Jan-2017,5.70
Feb-2017,5.80
Mar-2017,5.80
Apr-2017,5.60
May-2017,5.50
Jun-2017,5.60
Jul-2017,5.60
Aug-2017,5.50
Sep-2017,5.50
Oct-2017,5.40
Nov-2017,5.40
Dec-2017,5.60
Jan-2018,5.50
Feb-2018,5.60
Mar-2018,5.50
Apr-2018,5.50
May-2018,5.40
Jun-2018,5.30
Jul-2018,5.30
Aug-2018,5.30
Sep-2018,5.00
Oct-2018,5.00
Nov-2018,5.10
Dec-2018,5.00
Jan-2019,5.10
Feb-2019,5.00
Mar-2019,5.10
Apr-2019,5.20
May-2019,5.20
Jun-2019,5.30
Jul-2019,5.30
Aug-2019,5.30
Sep-2019,5.20
Oct-2019,5.30
Nov-2019,5.20
Dec-2019,5.10
Jan-2020,5.30
Feb-2020,5.10
Mar-2020,5.20
Apr-2020,6.30
May-2020,7.00
Jun-2020,7.40
Jul-2020,7.50
Aug-2020,6.80
Sep-2020,6.90
Oct-2020,7.00
Nov-2020,6.80
Dec-2020,6.60
Jan-2021,6.30
Feb-2021,5.80
Mar-2021,5.60
Apr-2021,5.40
May-2021,5.10
Jun-2021,5.00
Jul-2021,4.70
Aug-2021,4.60
Sep-2021,4.70
Oct-2021,5.20
Nov-2021,4.60
Dec-2021,4.20
Jan-2022,4.20
Feb-2022,4.00
Mar-2022,3.90
Apr-2022,3.90
May-2022,3.90
Jun-2022,3.60
Jul-2022,3.50
Aug-2022,3.50
Sep-2022,3.60
Oct-2022,3.40
Nov-2022,3.50
Dec-2022,3.50
Jan-2023,3.70
Feb-2023,3.50
