Month,Interest Rates (%pa),Cash Rate (%),AUD/USD exchange rate
Feb-2023,7.8,3.26,0.673
Dec-2022,7.55,3.01,0.6775
Nov-2022,7.3,2.8,0.6698
Oct-2022,7.05,2.54,0.642
Sep-2022,6.8,2.21,0.6502
Aug-2022,6.3,1.77,0.6902
Jul-2022,5.8,1.24,0.7007
Jun-2022,5.3,0.69,0.6889
May-2022,4.8,0.29,0.7187
Mar-2020,4.55,0.43,0.6175
Oct-2019,4.8,0.76,0.6926
Jul-2019,4.93,1.02,0.6894
Jun-2019,5.12,1.28,0.7013
Oct-2018,5.37,1.5,0.7085
Jul-2017,5.22,1.5,0.7987
May-2017,5.25,1.5,0.745
Aug-2016,5.22,1.52,0.7514
May-2016,5.35,1.77,0.7242
Nov-2015,5.6,2.0,0.7189
May-2015,5.45,2.04,0.7663
Feb-2015,5.65,2.28,0.7792
Aug-2013,5.9,2.55,0.8947
May-2013,6.15,2.8,0.9649
Dec-2012,6.4,3.03,1.0384
Oct-2012,6.6,3.27,1.0378
Jun-2012,6.8,3.54,1.0191
May-2012,7.01,3.77,0.9727
Feb-2012,7.41,4.25,1.0816
Dec-2011,7.31,4.3,1.0156
Nov-2011,7.56,4.51,1.0021
Nov-2010,7.81,4.73,0.9618
May-2010,7.36,4.48,0.849
Apr-2010,7.11,4.22,0.93
Mar-2010,6.86,3.98,0.9159
