Date from,Interest Rates (%pa)
Feb-2023,7.8
Dec-2022,7.55
Nov-2022,7.3
Oct-2022,7.05
Sep-2022,6.8
Aug-2022,6.3
Jul-2022,5.8
Jun-2022,5.3
May-2022,4.8
Mar-2020,4.55
Oct-2019,4.8
Jul-2019,4.93
Jun-2019,5.12
Oct-2018,5.37
Jul-2017,5.22
May-2017,5.25
Apr-2017,
Mar-2017,
Dec-2016,
Aug-2016,5.22
May-2016,5.35
Nov-2015,5.6
Aug-2015,
May-2015,5.45
Feb-2015,5.65
Aug-2013,5.9
May-2013,6.15
Dec-2012,6.4
Oct-2012,6.6
Jun-2012,6.8
May-2012,7.01
Feb-2012,7.41
Dec-2011,7.31
Nov-2011,7.56
Nov-2010,7.81
May-2010,7.36
Apr-2010,7.11
Mar-2010,6.86
Dec-2009,6.61
Nov-2009,6.24
Oct-2009,5.99
Jun-2009,5.74
Apr-2009,5.64
Feb-2009,5.74
Dec-2008,6.74
Nov-2008,7.74
Oct-2008,8.32
Oct-2008,8.53
Sep-2008,9.33
Jul-2008,9.58
Apr-2008,9.44
Mar-2008,9.32
Feb-2008,8.97
Jan-2008,8.67
