Month,CPI,Precent_CPI
Jun-22,2.8,
Sep-22,2.8,
Dec-22,2.7,
Mar-23,2.7,
Jun-23,2.8,2.3
Sep-23,2.9,3.8
Dec-23,2.9,4.6
Mar-24,2.8,1.4
Jun-24,2.8,-1.7
Sep-24,2.8,-3.7
Dec-24,2.8,-3.3
Mar-25,2.8,0.8
Jun-25,2.8,1.6
Sep-25,2.8,2.9
Dec-25,2.8,2.8
Mar-26,2.8,1.5
Jun-26,2.9,2.7
Sep-26,2.9,0.8
Dec-26,2.8,0.5
Mar-27,2.8,-0.6
Jun-27,2.8,-3
Sep-27,2.8,-0.5
Dec-27,2.9,0.5
Mar-28,2.9,1.1
Jun-28,2.9,2.1
Sep-28,2.9,0.3
Dec-28,2.9,-0.5
Mar-29,2.9,2.3
Jun-29,2.9,1.8
Sep-29,2.9,2.6
Dec-29,2.9,2.5
Mar-30,2.8,-2.9
Jun-30,2.8,-3.9
Sep-30,2.7,-6.5
Dec-30,2.6,-10.3
Mar-31,2.6,-10
Jun-31,2.5,-11.4
Sep-31,2.4,-11.6
Dec-31,2.4,-8.8
Mar-32,2.4,-6.5
Jun-32,2.4,-5.1
Sep-32,2.3,-3.6
Dec-32,2.3,-4.3
Mar-33,2.3,-5.4
Jun-33,2.3,-3.9
Sep-33,2.3,-2.3
Dec-33,2.3,-0.6
Mar-34,2.3,1.3
Jun-34,2.3,1.7
Sep-34,2.3,1.4
Dec-34,2.3,1.9
Mar-35,2.3,1.7
Jun-35,2.3,1.1
Sep-35,2.4,2.3
Dec-35,2.4,2.1
Mar-36,2.4,1.7
Jun-36,2.4,1.8
Sep-36,2.4,2.3
Dec-36,2.4,2.9
Mar-37,2.4,3.1
Jun-37,2.4,3.1
Sep-37,2.5,2.3
Dec-37,2.5,2.4
Mar-38,2.5,2.4
Jun-38,2.5,3
Sep-38,2.6,3.3
Dec-38,2.6,2.5
Mar-39,2.6,3.8
Jun-39,2.6,2.6
Sep-39,2.6,1.2
Dec-39,2.6,2.3
Mar-40,2.6,1.2
Jun-40,2.7,4
Sep-40,2.7,4.7
Dec-40,2.8,6.5
Mar-41,2.8,7
Jun-41,2.8,4.8
Sep-41,2.8,5.2
Dec-41,2.9,4.4
Mar-42,3,5.8
Jun-42,3.1,8.1
Sep-42,3.1,9.6
Dec-42,3.2,9
Mar-43,3.2,6.6
Jun-43,3.2,5.7
Sep-43,3.2,2.4
Dec-43,3.2,0.1
Mar-44,3.2,0.1
Jun-44,3.2,-1.6
Sep-44,3.2,-0.4
Dec-44,3.2,0.3
Mar-45,3.2,-0.1
Jun-45,3.2,0
Sep-45,3.2,-0.3
Dec-45,3.2,0.3
Mar-46,3.2,1
Jun-46,3.2,1.8
Sep-46,3.2,1.8
Dec-46,3.3,2.4
Mar-47,3.3,2.7
Jun-47,3.3,2.5
Sep-47,3.4,4
Dec-47,3.4,5.6
Mar-48,3.5,7.1
Jun-48,3.6,8.9
Sep-48,3.7,10
Dec-48,3.8,10.3
Mar-49,3.9,10.7
Jun-49,4,10.9
Sep-49,4.1,10.8
Dec-49,4.1,7.9
Mar-50,4.2,7.7
Jun-50,4.3,7.5
Sep-50,4.4,7.3
Dec-50,4.6,12.2
Mar-51,4.8,14.3
Jun-51,5.1,18.6
Sep-51,5.3,20.5
Dec-51,5.7,23.9
Mar-52,5.9,22.9
Jun-52,6.1,19.6
Sep-52,6.2,17
Dec-52,6.3,10.5
Mar-53,6.3,6.8
Jun-53,6.4,4.9
Sep-53,6.5,4.8
Dec-53,6.4,1.6
Mar-54,6.5,3.2
Jun-54,6.5,1.6
Sep-54,6.5,0
Dec-54,6.5,1.6
Mar-55,6.5,0
Jun-55,6.6,1.5
Sep-55,6.6,1.5
Dec-55,6.7,3.1
Mar-56,6.7,3.1
Jun-56,7,6.1
Sep-56,7.1,7.6
Dec-56,7.1,6
Mar-57,7.1,6
Jun-57,7.2,2.9
Sep-57,7.2,1.4
Dec-57,7.2,1.4
Mar-58,7.2,1.4
Jun-58,7.2,0
Sep-58,7.2,0
Dec-58,7.3,1.4
Mar-59,7.3,1.4
Jun-59,7.3,1.4
Sep-59,7.4,2.8
Dec-59,7.5,2.7
Mar-60,7.5,2.7
Jun-60,7.6,4.1
Sep-60,7.7,4.1
Dec-60,7.8,4
Mar-61,7.8,4
Jun-61,7.9,3.9
Sep-61,7.8,1.3
Dec-61,7.8,0
Mar-62,7.8,0
Jun-62,7.8,-1.3
Sep-62,7.8,0
Dec-62,7.8,0
Mar-63,7.8,0
Jun-63,7.8,0
Sep-63,7.9,1.3
Dec-63,7.9,1.3
Mar-64,8,2.6
Jun-64,8,2.6
Sep-64,8.1,2.5
Dec-64,8.2,3.8
Mar-65,8.2,2.5
Jun-65,8.3,3.8
Sep-65,8.4,3.7
Dec-65,8.5,3.7
Mar-66,8.6,4.9
Jun-66,8.6,3.6
Sep-66,8.6,2.4
Dec-66,8.7,2.4
Mar-67,8.8,2.3
Jun-67,8.9,3.5
Sep-67,9,4.7
Dec-67,9,3.4
Mar-68,9.1,3.4
Jun-68,9.1,2.2
Sep-68,9.2,2.2
Dec-68,9.2,2.2
Mar-69,9.4,3.3
Jun-69,9.4,3.3
Sep-69,9.5,3.3
Dec-69,9.5,3.3
Mar-70,9.6,2.1
Jun-70,9.7,3.2
Sep-70,9.8,3.2
Dec-70,10,5.3
Mar-71,10.1,5.2
Jun-71,10.2,5.2
Sep-71,10.5,7.1
Dec-71,10.7,7
Mar-72,10.8,6.9
Jun-72,10.9,6.9
Sep-72,11.1,5.7
Dec-72,11.2,4.7
Mar-73,11.4,5.6
Jun-73,11.8,8.3
Sep-73,12.2,9.9
Dec-73,12.6,12.5
Mar-74,13,14
Jun-74,13.5,14.4
Sep-74,14.2,16.4
Dec-74,14.7,16.7
Mar-75,15.3,17.7
Jun-75,15.8,17
Sep-75,15.9,12
Dec-75,16.8,14.3
Mar-76,17.3,13.1
Jun-76,17.7,12
Sep-76,18.1,13.8
Dec-76,19.2,14.3
Mar-77,19.6,13.3
Jun-77,20.1,13.6
Sep-77,20.5,13.3
Dec-77,21,9.4
Mar-78,21.3,8.7
Jun-78,21.7,8
Sep-78,22.1,7.8
Dec-78,22.6,7.6
Mar-79,23,8
Jun-79,23.6,8.8
Sep-79,24.2,9.5
Dec-79,24.9,10.2
Mar-80,25.4,10.4
Jun-80,26.2,11
Sep-80,26.6,9.9
Dec-80,27.2,9.2
Mar-81,27.8,9.4
Jun-81,28.4,8.4
Sep-81,29,9
Dec-81,30.2,11
Mar-82,30.8,10.8
Jun-82,31.5,10.9
Sep-82,32.6,12.4
Dec-82,33.6,11.3
Mar-83,34.3,11.4
Jun-83,35,11.1
Sep-83,35.6,9.2
Dec-83,36.5,8.6
Mar-84,36.3,5.8
Jun-84,36.4,4
Sep-84,36.9,3.7
Dec-84,37.4,2.5
Mar-85,37.9,4.4
Jun-85,38.8,6.6
Sep-85,39.7,7.6
Dec-85,40.5,8.3
Mar-86,41.4,9.2
Jun-86,42.1,8.5
Sep-86,43.2,8.8
Dec-86,44.4,9.6
Mar-87,45.3,9.4
Jun-87,46,9.3
Sep-87,46.8,8.3
Dec-87,47.6,7.2
Mar-88,48.4,6.8
Jun-88,49.3,7.2
Sep-88,50.2,7.3
Dec-88,51.2,7.6
Mar-89,51.7,6.8
Jun-89,53,7.5
Sep-89,54.2,8
Dec-89,55.2,7.8
Mar-90,56.2,8.7
Jun-90,57.1,7.7
Sep-90,57.5,6.1
Dec-90,59,6.9
Mar-91,58.9,4.8
Jun-91,59,3.3
Sep-91,59.3,3.1
Dec-91,59.9,1.5
Mar-92,59.9,1.7
Jun-92,59.7,1.2
Sep-92,59.8,0.8
Dec-92,60.1,0.3
Mar-93,60.6,1.2
Jun-93,60.8,1.8
Sep-93,61.1,2.2
