Month,GDP (million),Precent_GDP
Sep-59,68834,
Dec-59,69442,
Mar-60,69787,
Jun-60,71718,
Sep-60,71878,4.4
Dec-60,71737,3.3
Mar-61,71952,3.1
Jun-61,71161,-0.8
Sep-61,70651,-1.7
Dec-61,71455,-0.4
Mar-62,73461,2.1
Jun-62,74871,5.2
Sep-62,75474,6.8
Dec-62,76830,7.5
Mar-63,78604,7
Jun-63,77584,3.6
Sep-63,80768,7
Dec-63,82498,7.4
Mar-64,82364,4.8
Jun-64,84396,8.8
Sep-64,84920,5.1
Dec-64,87331,5.9
Mar-65,88066,6.9
Jun-65,89446,6
Sep-65,89182,5
Dec-65,89398,2.4
Mar-66,89140,1.2
Jun-66,90362,1
Sep-66,92917,4.2
Dec-66,93527,4.6
Mar-67,97178,9
Jun-67,97039,7.4
Sep-67,98861,6.4
Dec-67,99720,6.6
Mar-68,98833,1.7
Jun-68,102637,5.8
Sep-68,103995,5.2
Dec-68,107870,8.2
Mar-69,107125,8.4
Jun-69,109247,6.4
Sep-69,111058,6.8
Dec-69,113616,5.3
Mar-70,115980,8.3
Jun-70,118313,8.3
Sep-70,118063,6.3
Dec-70,118625,4.4
Mar-71,120062,3.5
Jun-71,120581,1.9
Sep-71,124366,5.3
Dec-71,123963,4.5
Mar-72,122460,2
Jun-72,125206,3.8
Sep-72,124572,0.2
Dec-72,125888,1.6
Mar-73,129139,5.5
Jun-73,129388,3.3
Sep-73,130695,4.9
Dec-73,133954,6.4
Mar-74,133978,3.7
Jun-74,131265,1.5
Sep-74,132830,1.6
Dec-74,132959,-0.7
Mar-75,133483,-0.4
Jun-75,137700,4.9
Sep-75,136191,2.5
Dec-75,134131,0.9
Mar-76,140057,4.9
Jun-76,140494,2
Sep-76,141630,4
Dec-76,142861,6.5
Mar-77,142086,1.4
Jun-77,144099,2.6
Sep-77,143483,1.3
Dec-77,143026,0.1
Mar-78,144039,1.4
Jun-78,145224,0.8
Sep-78,147433,2.8
Dec-78,148653,3.9
Mar-79,152728,6
Jun-79,150278,3.5
Sep-79,151678,2.9
Dec-79,154604,4
Mar-80,155297,1.7
Jun-80,155699,3.6
Sep-80,156530,3.2
Dec-80,159219,3
Mar-81,159840,2.9
Jun-81,162302,4.2
Sep-81,165585,5.8
Dec-81,164908,3.6
Mar-82,163582,2.3
Jun-82,165026,1.7
Sep-82,163940,-1
Dec-82,161330,-2.2
Mar-83,159745,-2.3
Jun-83,159424,-3.4
Sep-83,163887,0
Dec-83,166616,3.3
Mar-84,170788,6.9
Jun-84,172739,8.4
Sep-84,174296,6.4
Dec-84,175445,5.3
Mar-85,177973,4.2
Jun-85,181893,5.3
Sep-85,184315,5.7
Dec-85,183783,4.8
Mar-86,184999,3.9
Jun-86,184658,1.5
Sep-86,185185,0.5
Dec-86,188247,2.4
Mar-87,190092,2.8
Jun-87,193108,4.6
Sep-87,196611,6.2
Dec-87,200581,6.6
Mar-88,201438,6
Jun-88,201572,4.4
Sep-88,203241,3.4
Dec-88,206430,2.9
Mar-89,208561,3.5
Jun-89,212982,5.7
Sep-89,214729,5.7
Dec-89,214143,3.7
Mar-90,215914,3.5
Jun-90,216152,1.5
Sep-90,214943,0.1
Dec-90,216227,1
Mar-91,213422,-1.2
Jun-91,213050,-1.4
Sep-91,214013,-0.4
Dec-91,214128,-1
Mar-92,215825,1.1
Jun-92,217349,2
Sep-92,219509,2.6
Dec-92,224086,4.7
Mar-93,225635,4.5
Jun-93,226947,4.4
Sep-93,227237,3.5
Dec-93,231416,3.3
Mar-94,235201,4.2
Jun-94,237997,4.9
Sep-94,239849,5.6
Dec-94,242381,4.7
Mar-95,242412,3.1
Jun-95,243430,2.3
Sep-95,248934,3.8
Dec-95,248887,2.7
Mar-96,252988,4.4
Jun-96,254599,4.6
Sep-96,256634,3.1
Dec-96,259025,4.1
Mar-97,260656,3
Jun-97,268436,5.4
Sep-97,268779,4.7
Dec-97,272689,5.3
Mar-98,274462,5.3
Jun-98,277018,3.2
Sep-98,282291,5
Dec-98,286568,5.1
Mar-99,288661,5.2
Jun-99,289598,4.5
Sep-99,292952,3.8
Dec-99,297924,4
Mar-00,299121,3.6
Jun-00,301871,4.2
Sep-00,302709,3.3
Dec-00,301586,1.2
Mar-01,304710,1.9
Jun-01,307195,1.8
Sep-01,310801,2.7
Dec-01,314584,4.3
Mar-02,316953,4
Jun-02,322431,5
Sep-02,323397,4.1
Dec-02,326034,3.6
Mar-03,326649,3.1
Jun-03,328040,1.7
Sep-03,333753,3.2
Dec-03,339284,4.1
Mar-04,341882,4.7
Jun-04,344192,4.9
Sep-04,346828,3.9
Dec-04,349417,3
Mar-05,352071,3
Jun-05,353658,2.8
Sep-05,357642,3.1
Dec-05,360394,3.1
Mar-06,360767,2.5
Jun-06,361594,2.2
Sep-06,366981,2.6
Dec-06,371675,3.1
Mar-07,376825,4.5
Jun-07,379333,4.9
Sep-07,383604,4.5
Dec-07,385175,3.6
Mar-08,389046,3.2
Jun-08,390328,2.9
Sep-08,392977,2.4
Dec-08,391350,1.6
Mar-09,394957,1.5
Jun-09,397827,1.9
Sep-09,399179,1.6
Dec-09,402219,2.8
Mar-10,403936,2.3
Jun-10,406577,2.2
Sep-10,409344,2.5
Dec-10,412821,2.6
Mar-11,411518,1.9
Jun-11,416775,2.5
Sep-11,422471,3.2
Dec-11,427027,3.4
Mar-12,431099,4.8
Jun-12,434262,4.2
Sep-12,436775,3.4
Dec-12,438872,2.8
Mar-13,440847,2.3
Jun-13,442586,1.9
Sep-13,446167,2.2
Dec-13,449767,2.5
Mar-14,453176,2.8
Jun-14,455338,2.9
Sep-14,457366,2.5
Dec-14,459033,2.1
Mar-15,463243,2.2
Jun-15,463652,1.8
Sep-15,468435,2.4
Dec-15,471248,2.7
Mar-16,475461,2.6
Jun-16,478482,3.2
Sep-16,478962,2.2
Dec-16,483900,2.7
Mar-17,485494,2.1
Jun-17,488485,2.1
Sep-17,493166,3
Dec-17,495335,2.4
Mar-18,500175,3
Jun-18,504005,3.2
Sep-18,506317,2.7
Dec-18,507235,2.4
Mar-19,510008,2
Jun-19,512390,1.7
Sep-19,516158,1.9
Dec-19,518390,2.2
Mar-20,517516,1.5
Jun-20,482850,-5.8
Sep-20,501568,-2.8
Dec-20,517709,-0.1
Mar-21,528559,2.1
Jun-21,532583,10.3
Sep-21,522168,4.1
Dec-21,541273,4.6
Mar-22,544364,3
Jun-22,549274,3.1
Sep-22,553036,5.9
Dec-22,555690,2.7
Mar-23,,
Jun-23,,
Sep-23,,
