F11 EXCHANGE RATES ,,,,,,,,,,,,,,,,,,,,,,,,,
Title,A$1=USD,Trade-weighted Index May 1970 = 100,A$1=CNY,A$1=JPY,A$1=EUR,A$1=KRW,A$1=GBP,A$1=SGD,A$1=INR,A$1=THB,A$1=NZD,A$1=TWD,A$1=MYR,A$1=IDR,A$1=VND,A$1=AED,A$1=PGK,A$1=HKD,A$1=CAD,A$1=ZAR,A$1=SAR,A$1=CHF,A$1=SEK,A$1=PHP,A$1=SDR
Description,AUD/USD Exchange Rate; see notes for further detail.,Australian Dollar Trade-weighted Index,AUD/CNY Exchange Rate,AUD/JPY Exchange Rate,AUD/EUR Exchange Rate,AUD/KRW Exchange Rate,AUD/GBP Exchange Rate,AUD/SGD Exchange Rate,AUD/INR Exchange Rate,AUD/THB Exchange Rate,AUD/NZD Exchange Rate,AUD/TWD Exchange Rate,AUD/MYR Exchange Rate,AUD/IDR Exchange Rate,AUD/VND Exchange Rate,AUD/AED Exchange Rate,AUD/PGK Exchange Rate,AUD/HKD Exchange Rate,AUD/CAD Exchange Rate,AUD/ZAR Exchange Rate,AUD/SAR Exchange Rate,AUD/CHF Exchange Rate,AUD/SEK Exchange Rate,AUD/PHP Exchange Rate,AUD/SDR Exchange Rate
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
Type,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative
Units,USD,Index,CNY,JPY,EUR,KRW,GBP,SGD,INR,THB,NZD,TWD,MYR,IDR,VND,AED,PGK,HKD,CAD,ZAR,SAR,CHF,SEK,PHP,SDR
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source,WM/Reuters,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,IMF
Publication date,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,31-Mar-2023,30-Jun-2022,31-Mar-2023,31-Jan-2023,28-Nov-2014,30-Apr-2014,31-Mar-2023,30-Apr-2014,31-Mar-2023,31-Mar-2023
Series ID,FXRUSD,FXRTWI,FXRCR,FXRJY,FXREUR,FXRSKW,FXRUKPS,FXRSD,FXRIRE,FXRTB,FXRNZD,FXRNTD,FXRMR,FXRIR,FXRVD,FXRUAED,FXRPNGK,FXRHKD,FXRCD,FXRSARD,FXRSARY,FXRSF,FXRSK,FXRPHP,FXRSDR
29-Jan-2010,0.8909,69.2,6.0830,80.12,0.6395,1030.59,0.5523,1.2530,41.32,29.54,1.2662,28.48,3.0447,8343,16461,3.2718,2.4111,6.9200,0.9517,6.7897,3.3411,0.9387,6.5618,,0.5723
26-Feb-2010,0.8899,69.5,6.0750,79.42,0.6551,1031.75,0.5826,1.2532,41.18,29.43,1.2828,28.54,3.0282,8307,16864,3.2682,2.4414,6.9078,0.9417,6.8909,3.3374,0.9585,6.3705,,0.5819
31-Mar-2010,0.9159,71.7,6.2520,85.55,0.6827,1037.49,0.6072,1.2840,41.34,29.64,1.2905,29.09,2.9991,8348,17485,3.3636,2.5231,7.1108,0.9325,6.7639,3.4346,0.9767,6.6548,,0.6028
30-Apr-2010,0.9300,72.5,6.3486,87.49,0.7023,1030.77,0.6065,1.2719,41.34,30.07,1.2828,29.17,2.9672,8381,17650,3.4154,2.5620,7.2217,0.9335,6.8474,3.4878,1.0077,6.7523,,0.6166
31-May-2010,0.8490,67.5,5.7971,77.71,0.6901,1016.93,0.5876,1.1898,39.39,27.60,1.2430,27.13,2.7656,7779,16127,3.1180,2.4051,6.6149,0.8901,6.4566,3.1841,0.9818,6.6427,,0.5759
30-Jun-2010,0.8523,67.3,5.7863,75.46,0.6979,1041.94,0.5666,1.1940,39.73,27.63,1.2308,27.43,2.7747,7735,16262,3.1301,2.3741,6.6340,0.8976,6.5338,3.1965,0.9224,6.6275,,0.5778
30-Jul-2010,0.8986,69.4,6.0866,77.67,0.6878,1063.72,0.5754,1.2241,41.74,29.01,1.2455,28.73,2.8562,8044,17141,3.3001,2.4352,6.9796,0.9309,6.6129,3.3698,0.9363,6.4927,,0.5906
31-Aug-2010,0.8918,69.0,6.0713,75.06,0.7053,1069.22,0.5780,1.2101,41.95,27.92,1.2727,28.55,2.8033,8066,17386,3.2751,2.4234,6.9387,0.9454,6.5552,3.3445,0.9135,6.6167,,0.5909
30-Sep-2010,0.9667,72.9,6.4678,80.58,0.7121,1103.10,0.6098,1.2732,43.45,29.40,1.3131,30.23,2.9857,8625,18826,3.5502,2.5779,7.5010,0.9992,6.7426,3.6255,0.9456,6.5282,,0.6227
29-Oct-2010,0.9761,72.7,6.5181,78.67,0.7029,1097.09,0.6125,1.2678,43.50,29.25,1.2961,29.86,3.0362,8714,19024,3.5847,2.5857,7.5707,0.9976,6.8542,3.6606,0.9629,6.5886,,0.6219
30-Nov-2010,0.9618,73.0,6.4130,80.88,0.7348,1111.41,0.6191,1.2691,44.31,29.11,1.2924,29.30,3.0412,8690,18754,3.5322,2.5344,7.4681,0.9811,6.8780,3.6069,0.9623,6.7322,,0.6281
31-Dec-2010,1.0163,75.8,6.7015,82.83,0.7647,1146.89,0.6585,1.3068,45.58,30.59,1.3171,29.63,3.1338,9142,19816,3.7324,2.6851,7.9033,1.0167,6.7279,3.8111,0.9534,6.8692,,0.6599
31-Jan-2011,0.9924,74.0,6.5409,81.43,0.7294,1113.03,0.6254,1.2759,45.63,30.94,1.2860,28.85,3.0373,8989,19350,3.6446,2.6116,7.7362,0.9933,7.1140,3.7221,0.9346,6.4687,,0.6344
28-Feb-2011,1.0163,75.5,6.6848,83.00,0.7388,1146.18,0.6311,1.2934,45.98,31.09,1.3518,30.23,3.1012,8955,21218,3.7324,2.6295,7.9196,0.9939,7.1277,3.8115,0.9420,6.5244,,0.6475
31-Mar-2011,1.0334,76.3,6.7727,85.60,0.7309,1137.15,0.6420,1.3028,46.21,31.28,1.3592,30.46,3.1271,9000,21593,3.7952,2.6600,8.0488,1.0035,7.0524,3.8756,0.9485,6.5320,,0.6541
29-Apr-2011,1.0900,78.9,7.0753,88.91,0.7344,1168.04,0.6542,1.3376,48.36,32.60,1.3598,31.26,3.2406,9345,22487,4.0030,2.6914,8.4721,1.0375,7.2024,4.0878,0.9515,6.5375,,0.6730
31-May-2011,1.0709,77.8,6.9399,87.15,0.7447,1155.61,0.6479,1.3196,48.22,32.46,1.2993,30.75,3.2272,9141,22002,3.9329,2.5528,8.3301,1.0407,7.3951,4.0161,0.9140,6.6191,,0.6723
30-Jun-2011,1.0739,77.8,6.9410,86.33,0.7405,1146.87,0.6667,1.3204,48.04,33.00,1.2953,30.84,3.2421,9230,22112,3.9439,2.4801,8.3581,1.0389,7.2864,4.0273,0.8927,6.7834,,0.6724
29-Jul-2011,1.0954,78.4,7.0567,84.92,0.7663,1154.33,0.6710,1.3206,48.38,32.58,1.2652,31.60,3.2482,9316,22560,4.0229,2.4839,8.5374,1.0424,7.3972,4.1080,0.8768,6.9795,,0.6840
31-Aug-2011,1.0691,76.5,6.8194,81.85,0.7408,1140.57,0.6556,1.2877,49.27,32.09,1.2514,31.04,3.1891,9160,22271,3.9263,2.4106,8.3355,1.0458,7.5505,4.0094,0.8719,6.8031,,0.6648
30-Sep-2011,0.9781,72.4,6.2472,74.88,0.7213,1152.50,0.6269,1.2686,47.90,30.48,1.2757,29.88,3.1187,8617,20374,3.5921,2.1906,7.6209,1.0163,7.7964,3.6683,0.8791,6.6835,,0.6241
31-Oct-2011,1.0509,76.9,6.6755,83.23,0.7511,1165.92,0.6580,1.3159,51.35,32.33,1.2997,31.43,3.2315,9285,22078,3.8594,2.3097,8.1639,1.0528,8.2341,3.9411,0.9183,6.7815,,0.6581
30-Nov-2011,1.0021,74.6,6.3822,78.05,0.7516,1141.74,0.6425,1.2975,52.25,31.26,1.3135,30.39,3.1767,9189,21054,3.6802,2.1785,7.8056,1.0343,8.3526,3.7583,0.9218,6.9023,,0.6447
